74														
0	    0	    0.36	0	    0	    0	    0	    0	    0.24	0	    0	    0.4	    0	    0	    0
0	    0	    0	    0	    0.12	0.4	    0	    0	    0	    0	    0	    0	    0	    0.48	0
0.12	0	    0.12	0	    0	    0	    0	    0	    0.24	0	    0	    0.52	0	    0	    0
0	    0	    0	    0.11	0	    0	    0.1	    0.13	0	    0.6	    0	    0	    0	    0	    0.06
0	    0.48	0	    0	    0	    0.4	    0	    0	    0	    0	    0	    0	    0	    0.12	0
0	    0.23	0	    0	    0.29	0.29	0	    0	    0	    0	    0	    0	    0	    0.19	0
0	    0	    0	    0.14	0.36	0	    0.18	0.17	0	    0	    0	    0	    0	    0	    0.15
0.06	0	    0	    0.2	    0	    0	    0.24	0.19	0	    0	    0	    0	    0	    0	    0.31
0.12	0	    0.12	0	    0	    0	    0	    0	    0.12	0	    0	    0.64	0	    0	    0
0	    0	    0	    0	    0	    0	    0	    0	    0	    0.34	0.37	0	    0.29	0	    0
0	    0	    0	    0	    0	    0	    0	    0	    0	    0.64	0.24	0	    0.12	0	    0
0.26	0	    0.21	0	    0	    0	    0	    0	    0.23	0	    0	    0.3	    0	    0	    0
0	    0	    0	    0	    0	    0	    0	    0	    0	    0.52	0.24	0	    0.24	0	    0
0	    0.12	0	    0	    0.12	0.52	0	    0	    0	    0	    0	    0	    0	    0.24	0
0	    0	    0	    0.28	0	    0	    0.22	0.24	0	    0	    0	    0	    0	    0	    0.26
